"School","Student_Enrolled","Student_Present","Student_Present_Percent","Student_Active_Cases","Staff_Employed","Staff_Present","Staff_Present_Percent","Staff_Active_Cases","Date","Level","Student_Maximum_Active_Cases","Staff_Maximum_Active_Cases"
"Halls Elementary School","675","631",93.48,"≤15","78","76",97.44,"≤5",2021-09-16 17:18:45,"Elementary",15,5
"Halls High School","1276","1144",89.66,"≤15","102","98",96.08,"0",2021-09-16 17:18:45,"High",15,0
"Halls Middle School","1064","971",91.26,"≤5","86","80",93.02,"0",2021-09-16 17:18:45,"Middle",5,0
"Hardin Valley Academy","2110","1931",91.52,"≤15","147","139",94.56,"≤5",2021-09-16 17:18:45,"High",15,5
"Hardin Valley Elememntary School","1301","1235",94.93,"0","100","94",94,"0",2021-09-16 17:18:45,"Elementary",0,0
"Hardin Valley Middle School","970","910",93.81,"≤5","79","69",87.34,"0",2021-09-16 17:18:45,"Middle",5,0
"Holston Middle School","493","444",90.06,"≤5","80","75",93.75,"≤5",2021-09-16 17:18:45,"Middle",5,5
"Inskip Elementary School","488","443",90.78,"≤5","82","78",95.12,"0",2021-09-16 17:18:45,"Elementary",5,0
"Karns Elementary School","1180","1073",90.93,"≤15","140","129",92.14,"0",2021-09-16 17:18:45,"Elementary",15,0
"Karns High School","1433","1253",87.44,"≤15","129","118",91.47,"0",2021-09-16 17:18:45,"High",15,0
"Karns Middle School","936","845",90.28,"≤5","81","75",92.59,"0",2021-09-16 17:18:45,"Middle",5,0
"Knox Adaptive Education Center","55","46",83.64,"0","53","43",81.13,"0",2021-09-16 17:18:45,"Other",0,0
"L & N Stem Academy","580","540",93.1,"≤5","42","39",92.86,"≤5",2021-09-16 17:18:45,"High",5,5
"Lonsdale Elementary School","307","283",92.18,"≤5","74","66",89.19,"0",2021-09-16 17:18:45,"Elementary",5,0
"Maynard Elementary School","109","98",89.91,"≤15","32","27",84.38,"≤5",2021-09-16 17:18:45,"Elementary",15,5
"Mooreland Heights Elementary School","317","274",86.44,"≤5","45","39",86.67,"≤5",2021-09-16 17:18:45,"Elementary",5,5
"Mount Olive Elementary School","200","182",91,"0","30","28",93.33,"0",2021-09-16 17:18:45,"Elementary",0,0
"New Hopewell Elementary School","223","209",93.72,"≤15","35","34",97.14,"≤5",2021-09-16 17:18:45,"Elementary",15,5
"Northshore Elementary School","1081","994",91.95,"≤15","102","96",94.12,"0",2021-09-16 17:18:45,"Elementary",15,0
"Northwest Middle School","776","688",88.66,"≤5","113","106",93.81,"0",2021-09-16 17:18:45,"Middle",5,0
"Norwood Elementary School","485","439",90.52,"≤5","70","62",88.57,"≤5",2021-09-16 17:18:45,"Elementary",5,5
"Paul L. Kelley Volunteer Academy","73","59",80.82,"0","12","12",100,"0",2021-09-16 17:18:45,"High",0,0
"Pleasant Ridge Elementary School","282","243",86.17,"≤5","34","29",85.29,"≤5",2021-09-16 17:18:45,"Elementary",5,5
"Pond Gap Elementary School","360","305",84.72,"≤15","55","50",90.91,"0",2021-09-16 17:18:45,"Elementary",15,0
"Powell Elementary School","787","709",90.09,"≤5","77","73",94.81,"0",2021-09-16 17:18:45,"Elementary",5,0
"Powell High School","1347","1174",87.16,"≤15","122","112",91.8,"≤5",2021-09-16 17:18:45,"High",15,5
"Powell Middle School School","876","762",86.99,"≤15","84","78",92.86,"0",2021-09-16 17:18:45,"Middle",15,0
"Richard Yoakley Alternative","113","75",66.37,"0","35","32",91.43,"0",2021-09-16 17:18:45,"Other",0,0
"Ridgedale Alternative","66","60",90.91,"0","77","70",90.91,"≤5",2021-09-16 17:18:45,"Middle",0,5
"Ritta Elementary School","539","490",90.91,"≤5","62","58",93.55,"0",2021-09-16 17:18:45,"Elementary",5,0
"Rocky Hill Elementary School","709","662",93.37,"≤5","79","73",92.41,"0",2021-09-16 17:18:45,"Elementary",5,0
"Sam E. Hill Primary School","155","136",87.74,"≤15","40","39",97.5,"0",2021-09-16 17:18:45,"Other",15,0
"Sarah Moore Greene Magnet Academy","506","439",86.76,"≤5","93","83",89.25,"≤5",2021-09-16 17:18:45,"Elementary",5,5
"Sequoyah Elementary School","473","455",96.19,"≤5","46","44",95.65,"0",2021-09-16 17:18:45,"Elementary",5,0
"Shannondale Elementary School","389","344",88.43,"≤5","40","37",92.5,"≤5",2021-09-16 17:18:45,"Elementary",5,5
