"School","Student_Enrolled","Student_Present","Student_Present_Percent","Student_Active_Cases","Staff_Employed","Staff_Present","Staff_Present_Percent","Staff_Active_Cases","Date","Level","Student_Maximum_Active_Cases","Staff_Maximum_Active_Cases"
"Spring Hill Elementary School","475","414",87.16,"≤5","69","66",95.65,"0",2021-09-20 22:17:00,"Elementary",5,0
"Sterchi Elementary School","350","321",91.71,"≤5","45","40",88.89,"0",2021-09-20 22:17:00,"Elementary",5,0
"Sunnyview Primary","230","219",95.22,"0","33","29",87.88,"0",2021-09-20 22:17:00,"Other",0,0
"Vine Middle Magnet","454","393",86.56,"≤5","58","52",89.66,"0",2021-09-20 22:17:00,"Middle",5,0
"West Haven Elementary School","326","287",88.04,"≤5","42","35",83.33,"≤5",2021-09-20 22:17:00,"Elementary",5,5
"West High School","1536","1377",89.65,"≤5","117","108",92.31,"0",2021-09-20 22:17:00,"High",5,0
"West Hills Elementary School","701","641",91.44,"≤5","94","87",92.55,"≤5",2021-09-20 22:17:00,"Elementary",5,5
"West Valley Middle School","1127","1030",91.39,"≤5","88","81",92.05,"≤5",2021-09-20 22:17:00,"Middle",5,5
"West View Elementary School","198","183",92.42,"≤15","34","32",94.12,"0",2021-09-20 22:17:00,"Elementary",15,0
"Whittle Springs Middle School","461","392",85.03,"≤5","57","54",94.74,"0",2021-09-20 22:17:00,"Middle",5,0
