"County","State","Community_Transmission_Level","Percent_Fully_Vaccinated","Percent_Fully_Vaccinated_Under_65","Percent_Estimated_Vaccination_Hesitant","Percent_Estimated_Vaccination_Strongly_Hesitant","Percent_State_ICU_Beds_Filled","Percent_County_ICU_Beds_Filled","Population","FIPS","Vaccination_Data_Is_For_County","Area_of_Concern_Category"
"Taney","MO",NA,40.3,34.3116826191433,14.3,8.63,72,85,55928,29213,TRUE,"ModerateBurden"
"Nottoway","VA",NA,43,35.3219707687928,7.14,4.97,65,75,15232,51135,TRUE,"ModerateBurden"
"Screven","GA",NA,48.1,39.7415564869807,15.76,9.86,74,61,13966,13251,TRUE,"ModerateBurden"
"Polk","MO",NA,38.8,31.3344903468292,15.67,9.48,72,80,32149,29167,TRUE,"ModerateBurden"
"Tom Green","TX",NA,50.4,43.6862223534096,10.78,7.04,87,65,119200,48451,TRUE,"ModerateBurden"
"Humboldt","CA",NA,65.6,60.5821547476207,8.21,4.02,71,65,135558,6023,TRUE,"ModerateBurden"
"Van Buren","MI",NA,57.1,50.4698561384776,9.9,6.08,73,29,75677,26159,TRUE,"ModerateBurden"
"Greene","OH",NA,62.8,56.9339488012091,12.24,7.16,67,70,168937,39057,TRUE,"ModerateBurden"
"Faulkner","AR",NA,51.1,46.2613684173028,20.95,13.59,68,75,126007,5045,TRUE,"ModerateBurden"
"Northumberland","PA",NA,57.5,50.48199972924,12.5,8.29,76,79,90843,42097,TRUE,"ModerateBurden"
"Dougherty","GA",NA,48.9,42.7235351775212,15.52,9.82,74,82,87956,13095,TRUE,"ModerateBurden"
"Burnet","TX",NA,53.7,43.5378677122776,12.64,8.47,87,94,48155,48053,TRUE,"ModerateBurden"
"Sebastian","AR",NA,49.3,45.3453524413554,20.68,13.42,68,68,127827,5131,TRUE,"ModerateBurden"
"Shelby","MO",NA,46.7,36.2725742094702,14.64,8.78,72,61,5930,29205,TRUE,"ModerateBurden"
"Livingston","NY",NA,59.4,52.5727624788338,7.67,5.31,70,74,62914,36051,TRUE,"ModerateBurden"
"Schoharie","NY",NA,56.7,50.8418578265458,7.22,5.09,70,89,30999,36095,TRUE,"ModerateBurden"
"Pierce","WI",NA,43.9,36.6038378692893,16.11,9.59,67,NA,42754,55093,TRUE,"ModerateBurden"
"Payne","OK",NA,48.6,43.3142450346244,18.7,13.07,76,73,81784,40119,TRUE,"ModerateBurden"
"Walton","GA",NA,41,34.700720344829,15.88,10.06,74,74,94593,13297,TRUE,"ModerateBurden"
"Wayne","PA",NA,60.5,55.1332121922194,11.96,7.88,76,81,51361,42127,TRUE,"ModerateBurden"
"Dodge","NE",NA,53.8,48.9412825751204,8.54,5.28,72,80,36565,31053,TRUE,"ModerateBurden"
"Calvert","MD",NA,70.8,66.3124605534499,7.94,4.25,66,77,92525,24009,TRUE,"ModerateBurden"
"Frio","TX",NA,67.4,66.6853869482197,11.46,7.56,87,84,20306,48163,TRUE,"ModerateBurdenResolving"
"York","VA",NA,67.1,61.9992334761855,4.81,3.28,65,58,68280,51199,TRUE,"ModerateBurden"
"Stephens","OK",NA,47.3,38.4194977900846,19.75,13.63,76,67,43143,40137,TRUE,"ModerateBurden"
"Grand Forks","ND",NA,58.3,53.736394441248,11.99,8.1,51,72,69451,38035,TRUE,"ModerateBurden"
"Otter Tail","MN",NA,50.6,41.0436115133043,7.19,3.85,69,71,58746,27111,TRUE,"ModerateBurden"
"Crow Wing","MN",NA,56.4,46.1353475408948,8.13,4.38,69,29,65055,27035,TRUE,"ModerateBurden"
"Lawrence","PA",NA,53.7,46.547793518343,12.03,7.95,76,84,85512,42073,TRUE,"ModerateBurden"
"Lauderdale","AL",NA,46.4,38.6618198646775,17.38,13.25,79,53,92729,1077,TRUE,"ModerateBurden"
"Waller","TX",NA,41.7,37.2391983693683,11.14,7.38,87,89,55246,48473,TRUE,"ModerateBurden"
"Vermilion","IL",NA,45.6,37.6102385732351,10.6,6.53,62,23,75758,17183,TRUE,"ModerateBurden"
"Pottawatomie","OK",NA,48.6,42.15456932349,19.02,13.22,76,77,72592,40125,TRUE,"ModerateBurden"
"Saunders","NE",NA,52.3,46.5301520331709,8.54,5.28,72,80,21578,31155,TRUE,"ModerateBurden"
"White","AR",NA,44.1,37.5055467838565,22.65,15.09,68,61,78753,5145,TRUE,"ModerateBurden"
"Chelan","WA",NA,70.3,64.9891588575669,7.53,5.48,78,94,77200,53007,TRUE,"ModerateBurden"
"Bee","TX",NA,50.2,45.5501862185728,11.83,7.72,87,38,32565,48025,TRUE,"ModerateBurdenResolving"
"Lamoille","VT",NA,63,57.8291544792028,4.17,2.24,75,61,25362,50015,TRUE,"ModerateBurden"
"Bullock","AL",NA,53.2,47.628602382953,16.76,12.74,79,79,10101,1011,TRUE,"ModerateBurden"
"Ketchikan Gateway Borough","AK",NA,65.5,61.357591902152,18.97,13.62,77,100,13901,2130,TRUE,"ModerateBurden"
"Person","NC",NA,55.8,48.5689096354237,14.67,11.6,78,88,39490,37145,TRUE,"ModerateBurden"
"Beltrami","MN",NA,67.2,61.7203240822391,8.92,4.76,69,70,47188,27007,TRUE,"ModerateBurdenResolving"
"Yates","NY",NA,52.8,44.438140091681,6.63,4.65,70,91,24913,36123,TRUE,"ModerateBurden"
"Greenbrier","WV",NA,54.7,46.2981244960681,10.42,7.98,77,36,34662,54025,TRUE,"ModerateBurdenResolving"
"Columbia","PA",NA,61.5,53.8508059104363,11.85,7.81,76,76,64964,42037,TRUE,"ModerateBurden"
"Dallas","MO",NA,34.9,26.5974467386137,15.67,9.48,72,80,16878,29059,TRUE,"ModerateBurden"
"Iowa","WI",NA,68.7,62.2042275738774,15.81,9.48,67,80,23678,55049,TRUE,"ModerateBurden"
"Wood","WV",NA,58.3,50.8147007287694,9.86,7.47,77,80,83518,54107,TRUE,"ModerateBurden"
"Chisago","MN",NA,57.2,49.8642934768733,8.88,4.84,69,79,56579,27025,TRUE,"ModerateBurden"
"Martinsville city","VA",NA,39.2,30.7660759016403,6.72,4.61,65,71,12554,51690,TRUE,"ModerateBurden"
"Orleans","NY",NA,54.9,48.9746164796378,8.51,6.03,70,74,40352,36073,TRUE,"ModerateBurden"
"Armstrong","PA",NA,59.7,50.1713224770284,12.57,8.4,76,77,64735,42005,TRUE,"ModerateBurden"
"Coos","OR",NA,57,48.5143745280225,12.09,9.09,72,79,64487,41011,TRUE,"ModerateBurden"
"Elmore","ID",NA,53.8,49.6149228961912,20.13,13.38,66,75,27511,16039,TRUE,"ModerateBurdenResolving"
"Mingo","WV",NA,40.2,33.3446024203495,11.63,9.03,77,74,23424,54059,TRUE,"ModerateBurdenResolving"
"Panola","MS",NA,47.5,40.317723309284,18.57,12.62,77,79,34192,28107,TRUE,"ModerateBurden"
"Carroll","VA",NA,32.8,25.8767077396532,7.17,4.95,65,41,29791,51035,TRUE,"ModerateBurden"
"Jefferson","WV",NA,62.9,57.4227554098469,9.39,7.12,77,69,57146,54037,TRUE,"ModerateBurden"
"Somerset","MD",NA,51.4,44.6243319710783,8.61,4.57,66,55,25616,24039,TRUE,"ModerateBurden"
"Madison","MS",NA,63.3,57.8165481345731,16.2,10.83,77,86,106272,28089,TRUE,"ModerateBurden"
"Summit","CO",NA,84.4,83.0675646590687,6.52,3.82,58,66,31011,8117,TRUE,"ModerateBurden"
"Putnam","WV",NA,58,52.2869006065745,10.32,7.96,77,73,56450,54079,TRUE,"ModerateBurden"
"Bollinger","MO",NA,33,26.003680538307,14.34,8.58,72,55,12133,29017,TRUE,"ModerateBurden"
"Lee","MS",NA,43.4,37.2427185009438,18.25,12.51,77,66,85436,28081,TRUE,"ModerateBurden"
"Logan","IL",NA,54.1,46.5660444267137,9.86,6.12,62,56,28618,17107,TRUE,"ModerateBurden"
"New Kent","VA",NA,51.6,43.8220324329201,5.81,3.99,65,75,23091,51127,TRUE,"ModerateBurden"
"Itasca","MN",NA,56.4,47.5787381231303,8.06,4.38,69,67,45130,27061,TRUE,"ModerateBurden"
"Henry","IL",NA,58.7,51.665320954598,9.65,5.93,62,63,48913,17073,TRUE,"ModerateBurden"
"Dunn","WI",NA,49,42.4793816214569,14.26,8.53,67,64,45368,55033,TRUE,"ModerateBurden"
"Suffolk city","VA",NA,53.3,48.3065278366881,6.38,4.34,65,48,92108,51800,TRUE,"ModerateBurden"
"Scott","MO",NA,43.5,34.662112109922,14.34,8.58,72,55,38280,29201,TRUE,"ModerateBurden"
"Goochland","VA",NA,65.7,59.4705258863092,5.81,3.99,65,75,23753,51075,TRUE,"ModerateBurden"
"Hot Spring","AR",NA,42.4,36.5483729958835,20.31,13.3,68,88,33771,5059,TRUE,"ModerateBurden"
"Delaware","IN",NA,48.3,40.9039092790942,12.87,7.92,72,49,114135,18035,TRUE,"ModerateBurden"
"Bossier Parish","LA",NA,50.3,45.3209179390944,17.48,10.51,71,71,127039,22015,TRUE,"ModerateBurden"
"Athens","OH",NA,51.2,45.661947851517,14.8,8.93,67,87,65327,39009,TRUE,"ModerateBurden"
"Benton","TN",NA,44.2,34.624359147182,13.69,8.64,64,76,16160,47005,TRUE,"ModerateBurden"
"Bonneville","ID",NA,53.3,48.1985819444305,18.42,11.86,66,44,119062,16019,TRUE,"ModerateBurden"
"Granville","NC",NA,61.4,57.4475885932876,14.67,11.6,78,88,60443,37077,TRUE,"ModerateBurden"
"Upshur","TX",NA,34.1,27.4106384698846,12.76,8.61,87,83,41753,48459,TRUE,"ModerateBurdenResolving"
"Colbert","AL",NA,47.9,40.3537465080444,17.38,13.25,79,53,55241,1033,TRUE,"ModerateBurden"
"Hocking","OH",NA,48,40.865085102248,16.86,10.43,67,87,28264,39073,TRUE,"ModerateBurden"
"Howard","IN",NA,47.1,39.0385919617478,13.65,8.57,72,40,82544,18067,TRUE,"ModerateBurden"
"Story","IA",NA,62.9,58.0529415916204,11.66,6.91,66,74,97117,19169,TRUE,"ModerateBurden"
"Wise","TX",NA,38.9,33.088788584035,12.93,8.7,87,81,69984,48497,TRUE,"ModerateBurden"
"Pickens","SC",NA,46.5,38.8832731599072,14.53,8.26,65,63,126884,45077,TRUE,"ModerateBurden"
"Santa Rosa","FL",NA,53.9,46.8862102282277,15.01,9.97,73,73,184313,12113,TRUE,"LowBurden"
