"School","Student_Enrolled","Student_Present","Student_Present_Percent","Student_Active_Cases","Staff_Employed","Staff_Present","Staff_Present_Percent","Staff_Active_Cases","Date","Level","Student_Maximum_Active_Cases","Staff_Maximum_Active_Cases"
"Pond Gap Elementary School","361","301",83.38,"<89>15\"" style=\""background-color: rgb(224, 224, 224); color: rgb(0, 0, 0); border-bottom-color: rgb(209, 209, 209); text-align: center; min-width: 122.247px; width: 122.247px;\""><89>15","55","50",90.9,"0",2021-09-15 11:28:46,"Elementary",NA,0
"Powell Elementary School","789","733",92.9,"<89>5\"" style=\""background-color: transparent; color: rgb(0, 0, 0); border-bottom-color: rgb(209, 209, 209); text-align: center; min-width: 122.247px; width: 122.247px;\""><89>5","77","72",93.5,"0",2021-09-15 11:28:46,"Elementary",NA,0
"Powell High School","1346","1197",88.93,"<89>5\"" style=\""background-color: rgb(224, 224, 224); color: rgb(0, 0, 0); border-bottom-color: rgb(209, 209, 209); text-align: center; min-width: 122.247px; width: 122.247px;\""><89>5","122","112",91.8,"<89>5\"" style=\""background-color: rgb(224, 224, 224); color: rgb(0, 0, 0); border-bottom-color: rgb(209, 209, 209); text-align: center; min-width: 113.385px; width: 113.385px;\""><89>5",2021-09-15 11:28:46,"High",NA,NA
"Powell Middle School School","875","787",89.94,"<89>15\"" style=\""background-color: transparent; color: rgb(0, 0, 0); border-bottom-color: rgb(209, 209, 209); text-align: center; min-width: 122.247px; width: 122.247px;\""><89>15","84","82",97.6,"0",2021-09-15 11:28:46,"Middle",NA,0
"Richard Yoakley Alternative","109","79",72.48,"0","35","34",97.1,"0",2021-09-15 11:28:46,"Other",0,0
"Ridgedale Alternative","65","57",87.69,"0","77","69",89.6,"<89>5\"" style=\""background-color: transparent; color: rgb(0, 0, 0); border-bottom-color: rgb(209, 209, 209); text-align: center; min-width: 113.385px; width: 113.385px;\""><89>5",2021-09-15 11:28:46,"Middle",0,NA
"Ritta Elementary School","539","496",92.02,"<89>5\"" style=\""background-color: rgb(224, 224, 224); color: rgb(0, 0, 0); border-bottom-color: rgb(209, 209, 209); text-align: center; min-width: 122.247px; width: 122.247px;\""><89>5","62","56",90.3,"0",2021-09-15 11:28:46,"Elementary",NA,0
"Rocky Hill Elementary School","709","669",94.36,"<89>5\"" style=\""background-color: transparent; color: rgb(0, 0, 0); border-bottom-color: rgb(209, 209, 209); text-align: center; min-width: 122.247px; width: 122.247px;\""><89>5","79","68",86.1,"<89>5\"" style=\""background-color: transparent; color: rgb(0, 0, 0); border-bottom-color: rgb(209, 209, 209); text-align: center; min-width: 113.385px; width: 113.385px;\""><89>5",2021-09-15 11:28:46,"Elementary",NA,NA
"Sam E. Hill Primary School","155","135",87.1,"<89>15\"" style=\""background-color: rgb(224, 224, 224); color: rgb(0, 0, 0); border-bottom-color: rgb(209, 209, 209); text-align: center; min-width: 122.247px; width: 122.247px;\""><89>15","40","36",90,"0",2021-09-15 11:28:46,"Other",NA,0
"Sarah Moore Greene Magnet Academy","509","441",86.64,"<89>5\"" style=\""background-color: transparent; color: rgb(0, 0, 0); border-bottom-color: rgb(209, 209, 209); text-align: center; min-width: 122.247px; width: 122.247px;\""><89>5","93","83",89.2,"<89>5\"" style=\""background-color: transparent; color: rgb(0, 0, 0); border-bottom-color: rgb(209, 209, 209); text-align: center; min-width: 113.385px; width: 113.385px;\""><89>5",2021-09-15 11:28:46,"Elementary",NA,NA
"Sequoyah Elementary School","473","459",97.04,"0","46","44",95.7,"0",2021-09-15 11:28:46,"Elementary",0,0
"Shannondale Elementary School","389","354",91,"<89>5\"" style=\""background-color: transparent; color: rgb(0, 0, 0); border-bottom-color: rgb(209, 209, 209); text-align: center; min-width: 122.247px; width: 122.247px;\""><89>5","40","38",95,"0",2021-09-15 11:28:46,"Elementary",NA,0
"South Knoxville Elementary School","181","162",89.5,"0","105","93",84.6,"0",2021-09-15 11:28:46,"Elementary",0,0
